No,Township,Latitude,Longtitude,Confirmed Cases,Case No
1,Insein,16.9042,96.102857,43,"3, 6, 34, 35, 36, 37, 38, 41, 54, 55, 56, 58, 59, 61, 72, 73, 84, 93, 94, 123, 127, 130, 141, 151,152, 153, 154, 157, 162, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 179"
2,Mayangone,16.8616,96.1474,15,"24, 43, 44, 45, 62, 69, 70, 86, 98, 105, 108, 131, 160, 178, 180"
3,South Okkalapa,16.8489,96.1792,13,"47, 48, 49, 50, 51, 52, 89, 90, 91, 102, 128, 148, 149"
4,Tamwe,16.8108,96.1766,10,"11, 12, 13, 87, 126, 134, 147, 155, 163, 164"
5,Bahan,16.8143,96.158,9,"8, 15, 25, 28, 40, 42, 46, 71, 79"
6,Pabedan,16.7776,96.1567,7,"39, 65, 66, 67, 68, 95, 133"
7,Botahtaung,16.7635,96.1872,5,"21, 22, 106, 110, 125"
8,Hlaingtharya,16.8819,96.0573,5,"26, 63, 80, 81, 111"
9,Dagon Myothit (North),16.8839,96.1898,4,"101, 107, 158, 159"
10,Kamaryut,16.8238,96.1341,4,"103, 104, 139, 146"
11,Mingalardon,16.9969,96.1421,3,"9, 97, 124"
12,Shwepyithar,16.9753,96.0785,3,"33, 57, 60"
13,Mingalartaungnyunt,16.7875,96.1713,2,"5, 10"
14,North Okkalapa,16.9197,96.1686,2,"16, 75"
15,Sanchaung,16.8062,96.1341,2,"77, 92"
16,Dawbon,16.7827,96.1858,2,"99, 100"
17,Dagon Myothit (East),16.9333,96.3013,2,"120, 142"
18,Thaketa,16.801,96.2111,2,"122, 129"
19,Kyauktada,16.7746,96.162,2,"135, 136"
20,Hlaing,16.8508,96.1156,2,"137, 140"
21,Hmawbi,17.1362,96.0097,1,2
22,Hlegu,17.0948,96.2111,1,32
23,Ahlone,16.7829,96.1288,1,76
24,Pazundaung,16.7771,96.1752,1,83
25,Dagon Myothit (South),16.8705,96.2429,1,85
26,Thingangyun,16.8248,96.2004,1,109
27,Dagon,16.783752,96.156385,1,138
28,Kyauktan,16.6363,96.3199,1,161
